,text, target,processed
0,วันๆ นี่คุยกะหมา แมว หมู ไก่ ม้า ควาย มากกว่าคุยกับคนไปละ,0,"['วัน', 'นี่', 'คุย', 'กะ', 'หมา', 'แมว', 'หมู', 'ไก่', 'ม้า', 'ควาย', 'มากกว่า', 'คุย', 'กับ', 'คน', 'ไป', 'ละ']"
1,หล่อมากกก หล่อวัวตายควายล้มกันเลยทีเดียวววว,0,"['หล่อ', 'มาก', 'xxrep', 'หล่อ', 'วัว', 'ตาย', 'ควาย', 'ล้ม', 'กัน', 'เลย', 'ทีเดียว', 'xxrep']"
2,สิวเหี้ยไรขึ้นหลังหู เสียชาติเกิดมั้ย เกิดมามันต้องต้องโดดเด่นเด้งดึ๋งอย่าเช่นขึ้นที่หน้าไรงี้ อีควาย,0,"['สิว', 'เหี้ย', 'ไร', 'ขึ้น', 'หลัง', 'หู', 'เสียชาติเกิด', 'มั้ย', 'เกิด', 'มา', 'มัน', 'ต้อง', 'ต้อง', 'โดดเด่น', 'เด้ง', 'ดึ๋ง', 'อย่า', 'เช่น', 'ขึ้น', 'ที่', 'หน้า', 'ไร', 'งี้', 'อี', 'ควาย']"
3,อ่ะ ป่วยก็ป่วย งานจ้างก็ต้องทำ งานเรียนก็ต้องทำ วิชาดีไซน์ตัวร้ายกับควายอย่างกูเอง,0,"['อ่ะ', 'ป่วย', 'ก็', 'ป่วย', 'งาน', 'จ้าง', 'ก็', 'ต้อง', 'ทำ', 'งาน', 'เรียน', 'ก็', 'ต้อง', 'ทำ', 'วิชา', 'ดีไซน์', 'ตัว', 'ร้าย', 'กับ', 'ควาย', 'อย่าง', 'กู', 'เอง']"
4,นี่ก็เพิ่งรู้ว่า เกิดชาตินี้ชาติเดียว เป็นทั้ง เหี้ย เป็นทั้ง ควาย เลย คุ้มแท้ๆ 😆,1,"['นี่', 'ก็', 'เพิ่ง', 'รู้', 'ว่า', 'เกิด', 'ชาติ', 'นี้', 'ชาติ', 'เดียว', 'เป็น', 'ทั้ง', 'เหี้ย', 'เป็น', 'ทั้ง', 'ควาย', 'เลย', 'คุ้ม', 'แท้ๆ', 'EMJgrinning-squinting-faceEMJ']"
5,โว้ยอีควาย หนักกว่ากูก็มึงอะ,1,"['โว้ย', 'อี', 'ควาย', 'หนัก', 'กว่า', 'กู', 'ก็', 'มึง', 'อะ']"
6,ขอโทษ นะครับ อยากได้ควายให้ไปคบกับคนอื่นนะพอดีกูคนไม่ใช่ควาย ☻,1,"['ขอโทษ', 'นะ', 'ครับ', 'อยากได้', 'ควาย', 'ให้', 'ไป', 'คบ', 'กับ', 'คนอื่น', 'นะ', 'พอดี', 'กู', 'คน', 'ไม่', 'ใช่', 'ควาย']"
7,ปลั๊กไฟอยู่พื้น เลยลงมานอนบนพื้น อีควาย ไฟจะดูดกูมั้ย เสียบชาร์จไฟก็แลบออกมา อีเหี้ยยย,0,"['ปลั๊กไฟ', 'อยู่', 'พื้น', 'เลย', 'ลงมา', 'นอน', 'บน', 'พื้น', 'อี', 'ควาย', 'ไฟ', 'จะ', 'ดูด', 'กู', 'มั้ย', 'เสียบ', 'ชาร์จ', 'ไฟ', 'ก็', 'แลบ', 'ออกมา', 'อี', 'เหี้ย', 'xxrep']"
8,กูมันโง่เองที่ยังเชื่อคำสัญญาบ้าบอของคนคนนึงอยู่......กูนี้มันควายจริงๆ #😏,0,"['กู', 'มัน', 'โง่', 'เอง', 'ที่', 'ยัง', 'เชื่อ', 'คำสัญญา', 'บ้าบอ', 'ของ', 'คน', 'คน', 'นึง', 'อยู่', 'xxrep', 'กู', 'นี้', 'มัน', 'ควาย', 'จริงๆ', 'EMJsmirking-faceEMJ']"
9,ควายมันอยู่บนดินไง มันบินไม่ได้,0,"['ควาย', 'มัน', 'อยู่', 'บน', 'ดิน', 'ไง', 'มัน', 'บิน', 'ไม่', 'ได้']"
